iter	Accuracy	Logloss
107	0.9909819639	0.09627545409
108	0.9906479626	0.09564598987
109	0.9916499666	0.09462792682
110	0.9916499666	0.09391711737
111	0.9916499666	0.09298934416
112	0.9919839679	0.0919322644
113	0.9919839679	0.09090945948
114	0.9923179693	0.08982233217
115	0.9926519706	0.08890145619
116	0.9926519706	0.08819813503
117	0.9926519706	0.0870946935
118	0.9929859719	0.08615881529
119	0.9929859719	0.08552971853
120	0.9929859719	0.08518142488
121	0.9929859719	0.0844060192
122	0.9926519706	0.08431479531
123	0.993987976	0.08359175034
124	0.993987976	0.08253427868
125	0.993987976	0.08211355916
126	0.993987976	0.0819142358
127	0.993987976	0.08135078394
128	0.9933199733	0.08071747993
129	0.9933199733	0.08017711466
130	0.9933199733	0.07934214129
131	0.9936539746	0.07876219799
132	0.9946559786	0.07823273482
133	0.9946559786	0.07763310398
134	0.9946559786	0.07685518761
135	0.9946559786	0.07658715244
136	0.9946559786	0.07622314121
137	0.99498998	0.0758931063
138	0.99498998	0.07511346375
139	0.99498998	0.07442620747
140	0.99498998	0.0739937424
141	0.99498998	0.07384633057
142	0.99498998	0.07354535485
143	0.9953239813	0.07280325451
144	0.9953239813	0.07241988514
145	0.99498998	0.0718957874
146	0.9953239813	0.07158763805
147	0.9953239813	0.07103000728
148	0.9953239813	0.07029279015
149	0.9953239813	0.06988204633
150	0.9953239813	0.06899102512
151	0.99498998	0.06833298794
152	0.99498998	0.06796929724
153	0.99498998	0.06756073651
154	0.9953239813	0.06706642371
155	0.9953239813	0.0665756346
156	0.9956579826	0.06616393059
157	0.9956579826	0.06599125528
158	0.9953239813	0.06563445815
159	0.9956579826	0.06506072031
160	0.9956579826	0.06462288793
161	0.9956579826	0.0639916345
162	0.995991984	0.06361873767
163	0.9963259853	0.06322744527
164	0.9963259853	0.06302556062
165	0.9963259853	0.06275370876
166	0.9963259853	0.0624108538
167	0.9963259853	0.06211462952
168	0.9963259853	0.06146559324
169	0.9963259853	0.06124654304
170	0.9963259853	0.06075233331
171	0.9963259853	0.06043877391
172	0.9963259853	0.06006333854
173	0.9963259853	0.0598018112
174	0.9963259853	0.05945059164
175	0.9963259853	0.05902472598
176	0.9963259853	0.05883379417
177	0.9963259853	0.05854767502
178	0.9963259853	0.05828478786
179	0.9963259853	0.05783141909
180	0.9963259853	0.05730193405
181	0.9963259853	0.05676940226
182	0.9963259853	0.0562285499
183	0.9963259853	0.05572063488
184	0.9963259853	0.05546844837
185	0.9963259853	0.0550195803
186	0.9963259853	0.05473758439
187	0.9963259853	0.05440591477
188	0.9963259853	0.05404990044
189	0.9963259853	0.05384137622
190	0.9963259853	0.05338499651
191	0.9963259853	0.0531246033
192	0.9963259853	0.05273892853
193	0.9963259853	0.05250114638
194	0.9963259853	0.05215847686
195	0.9963259853	0.05202553793
196	0.9963259853	0.05177201426
197	0.9963259853	0.05154991231
198	0.9963259853	0.05116585481
199	0.9963259853	0.05077639238
200	0.9963259853	0.05041939019
201	0.9963259853	0.04997530435
202	0.9963259853	0.04974453229
203	0.9963259853	0.04950142611
204	0.9963259853	0.04927040593
205	0.9963259853	0.04910857064
206	0.9963259853	0.04876741123
207	0.995991984	0.04848742011
208	0.995991984	0.04807643707
209	0.9966599866	0.04777155387
210	0.9966599866	0.04745831956
211	0.9963259853	0.04698260766
212	0.9966599866	0.04678256171
213	0.9963259853	0.04646511083
214	0.9963259853	0.04630585334
215	0.9963259853	0.04608179264
216	0.9966599866	0.04593692672
217	0.9966599866	0.04566438492
218	0.9966599866	0.04549273031
219	0.9966599866	0.04515636227
220	0.9966599866	0.04483046614
221	0.9966599866	0.04462714996
222	0.9966599866	0.04437456634
223	0.9973279893	0.04406583405
224	0.9973279893	0.04389882502
225	0.9973279893	0.04377295848
226	0.9973279893	0.04345800025
227	0.9973279893	0.04325853768
228	0.9973279893	0.04298447072
229	0.9973279893	0.04274513718
230	0.9973279893	0.04243922595
231	0.9973279893	0.04229881471
232	0.9973279893	0.04215290848
233	0.9973279893	0.04183911604
234	0.9976619906	0.04151954001
235	0.9976619906	0.04124157977
236	0.9976619906	0.0409559298
237	0.9976619906	0.04088783375
238	0.9976619906	0.04069924305
239	0.9976619906	0.04054196052
240	0.9976619906	0.04023741556
241	0.9976619906	0.0400328669
242	0.9976619906	0.03977390992
243	0.9976619906	0.03953434916
244	0.9976619906	0.03931758491
245	0.9976619906	0.03914438609
246	0.9976619906	0.03891357381
247	0.9976619906	0.03868092481
248	0.9976619906	0.0384697265
249	0.9976619906	0.03817956
250	0.9976619906	0.0379688073
251	0.9976619906	0.03771376511
252	0.9976619906	0.03749968135
253	0.9976619906	0.03724508918
254	0.9976619906	0.03701911205
255	0.9976619906	0.03681187658
256	0.9976619906	0.03654613364
257	0.9976619906	0.03643921717
258	0.9976619906	0.0361760864
259	0.9976619906	0.03600382879
260	0.9976619906	0.0358014836
261	0.9976619906	0.03561477987
262	0.9976619906	0.03543162664
263	0.9976619906	0.03524851062
264	0.9976619906	0.03502096855
265	0.9976619906	0.03484321277
266	0.9976619906	0.03462756815
267	0.9976619906	0.03445664407
268	0.997995992	0.03423743154
269	0.997995992	0.034148175
270	0.997995992	0.03395287239
271	0.997995992	0.03378304143
272	0.997995992	0.03361855197
273	0.997995992	0.03343285317
274	0.997995992	0.03325837668
275	0.997995992	0.03303694778
276	0.997995992	0.03292771562
277	0.997995992	0.03276426191
278	0.997995992	0.03260512172
279	0.997995992	0.03253606094
280	0.997995992	0.03243318072
281	0.997995992	0.03227868111
282	0.997995992	0.03213152292
283	0.997995992	0.03193712635
284	0.997995992	0.03173049093
285	0.997995992	0.03148531229
286	0.997995992	0.03133775331
287	0.997995992	0.03120219188
288	0.997995992	0.03102526625
289	0.997995992	0.03095187267
290	0.997995992	0.0307908327
291	0.997995992	0.03069517198
292	0.997995992	0.030629072
293	0.997995992	0.03047864647
294	0.997995992	0.03032772826
295	0.997995992	0.03020871053
296	0.997995992	0.03007070398
297	0.997995992	0.03000647713
298	0.997995992	0.02980080946
299	0.997995992	0.02973453483
300	0.997995992	0.02960920778
301	0.997995992	0.02940342867
302	0.997995992	0.02929396996
303	0.997995992	0.02916949569
304	0.997995992	0.02903981625
305	0.997995992	0.02892005112
306	0.997995992	0.02874390879
307	0.997995992	0.028578408
308	0.997995992	0.02850709345
309	0.997995992	0.02838233592
310	0.997995992	0.02823396061
311	0.997995992	0.02811962204
312	0.997995992	0.02804660763
313	0.997995992	0.0279859687
314	0.997995992	0.02792966913
315	0.997995992	0.02779152808
316	0.997995992	0.02763363699
317	0.997995992	0.02751094147
318	0.997995992	0.02746471373
319	0.997995992	0.02736066863
320	0.997995992	0.02727302867
321	0.997995992	0.02722265996
322	0.997995992	0.02708024677
323	0.997995992	0.02701313867
324	0.997995992	0.02689639108
325	0.997995992	0.02684746224
326	0.997995992	0.0267313598
327	0.997995992	0.02662677673
328	0.997995992	0.02657298939
329	0.997995992	0.02640281592
330	0.997995992	0.02632903666
331	0.997995992	0.02622772638
332	0.997995992	0.02612342375
333	0.997995992	0.02607155624
334	0.997995992	0.02597989397
335	0.997995992	0.02589166725
336	0.997995992	0.02576818436
337	0.997995992	0.02566607712
338	0.997995992	0.02555926856
339	0.997995992	0.0255071615
340	0.997995992	0.02544317926
341	0.997995992	0.0253869804
342	0.997995992	0.02524750339
343	0.997995992	0.0251639385
344	0.997995992	0.02512857717
345	0.997995992	0.02506560582
346	0.997995992	0.02495892984
347	0.997995992	0.02482719752
348	0.997995992	0.02477544112
349	0.997995992	0.02467508811
350	0.997995992	0.02459810584
351	0.997995992	0.02456125107
352	0.997995992	0.02447252338
353	0.997995992	0.02437719095
354	0.997995992	0.02434279662
355	0.997995992	0.02429134661
356	0.997995992	0.02419854968
357	0.997995992	0.02415418937
358	0.997995992	0.02403224303
359	0.997995992	0.02393921069
360	0.997995992	0.0238703046
361	0.997995992	0.02383220312
362	0.997995992	0.02373857035
363	0.997995992	0.02365665019
364	0.997995992	0.02355804699
365	0.997995992	0.02351235112
366	0.997995992	0.02342733135
367	0.997995992	0.02337955056
368	0.997995992	0.02330715798
369	0.997995992	0.02320643814
370	0.997995992	0.02312226288
371	0.997995992	0.02303581734
372	0.997995992	0.0229039908
373	0.997995992	0.02284324481
374	0.997995992	0.02280909214
375	0.997995992	0.02272487628
376	0.997995992	0.02265440135
377	0.997995992	0.02257477017
378	0.997995992	0.02250972525
379	0.997995992	0.02242981952
380	0.997995992	0.02234991826
381	0.997995992	0.02227531057
382	0.997995992	0.02214887553
383	0.997995992	0.02208896092
384	0.997995992	0.02203235731
385	0.997995992	0.0219557995
386	0.997995992	0.02188604139
387	0.997995992	0.02180736737
388	0.997995992	0.02174565091
389	0.997995992	0.02169290157
390	0.997995992	0.02160781996
391	0.997995992	0.02155403919
392	0.997995992	0.02150913032
393	0.997995992	0.02145940662
394	0.997995992	0.02140066228
395	0.997995992	0.02128631558
396	0.997995992	0.02126173316
397	0.997995992	0.02119148575
398	0.997995992	0.02112316883
399	0.997995992	0.02105193785
400	0.997995992	0.02101178951
401	0.997995992	0.02093105272
402	0.997995992	0.02086904277
403	0.997995992	0.02082763038
404	0.997995992	0.0207569342
405	0.997995992	0.02066340005
406	0.997995992	0.02062916858
407	0.997995992	0.02054748895
408	0.997995992	0.02050159766
409	0.997995992	0.02042704639
410	0.997995992	0.02035166451
411	0.997995992	0.02029569684
412	0.997995992	0.02019098444
413	0.997995992	0.02013688757
414	0.997995992	0.02009045215
415	0.997995992	0.02005000796
416	0.997995992	0.02001610935
417	0.997995992	0.01993706645
418	0.997995992	0.01986320078
419	0.997995992	0.01981681715
420	0.997995992	0.01975730393
421	0.997995992	0.0196906605
422	0.997995992	0.01963120445
423	0.997995992	0.01959824214
424	0.997995992	0.01953705881
425	0.997995992	0.01948069346
426	0.997995992	0.01945367386
427	0.997995992	0.01941630605
428	0.997995992	0.01934673861
429	0.997995992	0.01930602119
430	0.997995992	0.01926308252
431	0.997995992	0.01921159847
432	0.997995992	0.01917021913
433	0.997995992	0.01911392109
434	0.997995992	0.01906430463
435	0.997995992	0.01899756205
436	0.997995992	0.01895967001
437	0.997995992	0.01892385134
438	0.997995992	0.01888602945
439	0.997995992	0.01880435085
440	0.997995992	0.01877441461
441	0.997995992	0.01873927707
442	0.997995992	0.01867902775
443	0.997995992	0.01864432353
444	0.997995992	0.01860394791
445	0.997995992	0.01852662816
446	0.997995992	0.01847516986
447	0.997995992	0.01839859357
448	0.997995992	0.01834653125
449	0.997995992	0.01831230368
450	0.997995992	0.01828557488
451	0.997995992	0.01825184412
452	0.997995992	0.01818840712
453	0.997995992	0.01814977138
454	0.997995992	0.01810244485
455	0.997995992	0.01806858127
456	0.997995992	0.01803185066
457	0.997995992	0.01799001912
458	0.997995992	0.01795096781
459	0.997995992	0.0179130365
460	0.997995992	0.01785981884
461	0.997995992	0.01782100196
462	0.997995992	0.01780060773
463	0.997995992	0.01776524271
464	0.997995992	0.01768211456
465	0.997995992	0.01765356876
466	0.997995992	0.01761009239
467	0.997995992	0.01757793227
468	0.997995992	0.01753321567
469	0.997995992	0.01749594824
470	0.997995992	0.01745506231
471	0.997995992	0.01743362207
472	0.997995992	0.01737441858
473	0.997995992	0.0173395037
474	0.997995992	0.01729624458
475	0.997995992	0.01724238556
476	0.997995992	0.01721309648
477	0.997995992	0.01718060026
478	0.997995992	0.01715672701
479	0.997995992	0.01712407802
480	0.997995992	0.01708875216
481	0.997995992	0.01702482918
482	0.997995992	0.01697578352
483	0.997995992	0.01691744493
484	0.997995992	0.01689336357
485	0.997995992	0.01686677618
486	0.997995992	0.01680287091
487	0.997995992	0.01676867987
488	0.997995992	0.01674545293
489	0.997995992	0.01672115194
490	0.997995992	0.01665003542
491	0.997995992	0.01658557741
492	0.997995992	0.01654021218
493	0.997995992	0.0165183427
494	0.997995992	0.01649607917
495	0.997995992	0.01644901833
496	0.997995992	0.01639568458
497	0.997995992	0.01635102607
498	0.997995992	0.01632229355
499	0.997995992	0.01630728629
500	0.997995992	0.01627821877
501	0.997995992	0.01623749707
502	0.997995992	0.01620747507
503	0.997995992	0.01619645384
504	0.997995992	0.01614278979
505	0.997995992	0.01612258225
506	0.997995992	0.01609849026
507	0.997995992	0.01607615294
508	0.997995992	0.01603448478
509	0.997995992	0.01598457748
510	0.997995992	0.01595110228
511	0.997995992	0.01592195582
512	0.997995992	0.01587873561
513	0.997995992	0.0158498474
514	0.997995992	0.01582250436
515	0.997995992	0.01576262634
516	0.997995992	0.0157175365
517	0.997995992	0.01569022187
518	0.997995992	0.01566476845
519	0.997995992	0.01560653741
520	0.997995992	0.01558293266
521	0.997995992	0.01555950512
522	0.997995992	0.01553993742
523	0.997995992	0.01551554234
524	0.997995992	0.01549548821
525	0.997995992	0.01545800881
526	0.997995992	0.01543706082
527	0.997995992	0.01537653775
528	0.997995992	0.01532748184
529	0.997995992	0.01529371178
530	0.997995992	0.01527975759
531	0.997995992	0.01522859037
532	0.997995992	0.0152079086
533	0.997995992	0.01517600507
534	0.997995992	0.01514014503
535	0.997995992	0.01510376811
536	0.997995992	0.01506540637
537	0.997995992	0.01504248108
538	0.997995992	0.01502111947
539	0.997995992	0.01500643493
540	0.997995992	0.01496013113
541	0.997995992	0.01491908306
542	0.997995992	0.01490667375
543	0.997995992	0.01488480432
544	0.997995992	0.01486368917
545	0.997995992	0.01482624546
546	0.997995992	0.01480843993
547	0.997995992	0.014788566
548	0.997995992	0.01474689913
549	0.997995992	0.01472743335
550	0.997995992	0.01471638238
551	0.997995992	0.01469238578
552	0.997995992	0.01466353414
553	0.997995992	0.01464010724
554	0.997995992	0.01458859815
555	0.997995992	0.01452897571
556	0.997995992	0.01451092467
557	0.997995992	0.01449642142
558	0.997995992	0.01447464293
559	0.997995992	0.01446620559
560	0.997995992	0.01443521062
561	0.997995992	0.01441478006
562	0.997995992	0.01439152658
563	0.997995992	0.01436921807
564	0.997995992	0.01433785495
565	0.997995992	0.01429349311
566	0.997995992	0.01426745027
567	0.997995992	0.01423205831
568	0.997995992	0.01419440698
569	0.997995992	0.0141554209
570	0.997995992	0.01411290035
571	0.997995992	0.01407165916
572	0.997995992	0.01403323304
573	0.997995992	0.01400086842
574	0.997995992	0.01396262184
575	0.997995992	0.01394661376
576	0.997995992	0.01391102018
577	0.997995992	0.01389851482
578	0.997995992	0.01388494569
579	0.997995992	0.01386593652
580	0.997995992	0.01385435412
581	0.997995992	0.013833913
582	0.997995992	0.01382055346
583	0.997995992	0.01379445444
584	0.997995992	0.01376206376
585	0.997995992	0.0137229613
586	0.997995992	0.01369474395
587	0.997995992	0.01366245433
588	0.997995992	0.01362185812
589	0.997995992	0.01360509465
590	0.997995992	0.01358725083
591	0.997995992	0.01357652932
592	0.997995992	0.01354351538
593	0.997995992	0.01350586507
594	0.997995992	0.0134655964
595	0.997995992	0.01344359466
596	0.997995992	0.01341798723
597	0.997995992	0.01340060876
598	0.997995992	0.01338804717
599	0.997995992	0.01335746927
600	0.997995992	0.01331822088
601	0.997995992	0.01328275984
602	0.997995992	0.01326347344
603	0.997995992	0.01324416239
604	0.997995992	0.01321931427
605	0.997995992	0.01319643401
606	0.997995992	0.01315741989
607	0.997995992	0.01314323746
608	0.997995992	0.01312511325
609	0.997995992	0.01307687361
610	0.997995992	0.01302346245
611	0.997995992	0.01298392702
612	0.997995992	0.01295610415
613	0.997995992	0.01292131903
614	0.9983299933	0.01288992603
615	0.9983299933	0.01286456812
616	0.9983299933	0.01284026077
617	0.9983299933	0.01280817453
618	0.9983299933	0.01278517996
619	0.9983299933	0.01273129539
620	0.9983299933	0.01270735817
621	0.9983299933	0.01268099284
622	0.9983299933	0.01266161561
623	0.9983299933	0.01263070472
624	0.9983299933	0.01261239116
625	0.9983299933	0.01258117197
626	0.9983299933	0.01256244645
627	0.9983299933	0.01252808027
628	0.9983299933	0.01249864317
629	0.9983299933	0.01247357167
630	0.9983299933	0.01245225719
631	0.9983299933	0.0124295005
632	0.9983299933	0.01240650548
633	0.9983299933	0.01235771188
634	0.9983299933	0.01233714349
635	0.9983299933	0.01231270549
636	0.9983299933	0.01228455878
637	0.9983299933	0.01226278788
638	0.9983299933	0.01225330412
639	0.9983299933	0.01222667324
640	0.9983299933	0.01220145814
641	0.9983299933	0.01217855537
642	0.9983299933	0.01216575933
643	0.9983299933	0.01213501236
644	0.9983299933	0.01212284042
645	0.9983299933	0.01211358028
646	0.9983299933	0.01210172398
647	0.9983299933	0.01208687852
648	0.9983299933	0.01206131594
649	0.9983299933	0.0120165691
650	0.9983299933	0.01198389118
651	0.9986639947	0.0119610888
652	0.9986639947	0.01194740001
653	0.9986639947	0.01193857785
654	0.9986639947	0.01191374669
655	0.9986639947	0.0119007417
656	0.9986639947	0.0118827385
657	0.9986639947	0.01186963093
658	0.9986639947	0.01185422434
659	0.9986639947	0.01183179875
660	0.9986639947	0.01180402626
661	0.9986639947	0.01178037198
662	0.9986639947	0.01175059508
663	0.9986639947	0.0117292997
664	0.9986639947	0.0117181995
665	0.9986639947	0.0117042742
666	0.9986639947	0.01168188278
667	0.9986639947	0.01164034795
668	0.9986639947	0.01160780973
669	0.9986639947	0.01159622595
670	0.9986639947	0.01157692407
671	0.9986639947	0.01154352634
672	0.9986639947	0.01152439852
673	0.9986639947	0.01150926775
674	0.9986639947	0.01148786323
675	0.9986639947	0.01147398525
676	0.9986639947	0.0114460559
677	0.9986639947	0.01142569835
678	0.9986639947	0.01140512074
679	0.9986639947	0.01138959416
680	0.9986639947	0.01137042812
681	0.9986639947	0.01133347641
682	0.9986639947	0.01131404655
683	0.9986639947	0.01128167815
684	0.9986639947	0.01124901314
685	0.9986639947	0.01124233047
686	0.9986639947	0.01122868486
687	0.9986639947	0.01120979103
688	0.9986639947	0.01117218663
689	0.9986639947	0.01115639424
690	0.9986639947	0.01112644466
691	0.9986639947	0.01111795547
692	0.9986639947	0.01108965519
693	0.9986639947	0.01107429235
694	0.9986639947	0.01106331354
695	0.9986639947	0.01104255382
696	0.9986639947	0.01102939699
697	0.9986639947	0.01100476415
698	0.9986639947	0.01098389891
699	0.9986639947	0.01097395044
700	0.9986639947	0.01094712286
701	0.9986639947	0.01092944277
702	0.9986639947	0.01090835198
703	0.9986639947	0.01089601043
704	0.9986639947	0.01088156594
705	0.9986639947	0.01085277531
706	0.9986639947	0.01083871983
707	0.9986639947	0.01082290346
708	0.9986639947	0.01081615188
709	0.9986639947	0.01079708955
710	0.9986639947	0.01078700664
711	0.9986639947	0.01076183164
712	0.9986639947	0.0107418715
713	0.9986639947	0.01072483283
714	0.9986639947	0.01071774175
715	0.9986639947	0.01070540305
716	0.9986639947	0.01068739095
717	0.9986639947	0.01065959577
718	0.9986639947	0.01064265554
719	0.9986639947	0.0106245746
720	0.9986639947	0.01060469737
721	0.9986639947	0.01058950864
722	0.9986639947	0.01055567293
723	0.9986639947	0.01054196668
724	0.9986639947	0.01053063021
725	0.9986639947	0.01051681355
726	0.9986639947	0.01049718701
727	0.9986639947	0.01048021908
728	0.9986639947	0.01046942307
729	0.9986639947	0.01044620294
730	0.9986639947	0.01042907868
731	0.9986639947	0.01041544255
732	0.9986639947	0.01039983908
733	0.9986639947	0.0103834121
734	0.9986639947	0.01037121817
735	0.9986639947	0.01034631224
736	0.9986639947	0.01033117155
737	0.9986639947	0.010315958
738	0.9986639947	0.0102864146
739	0.9986639947	0.01027305327
740	0.9986639947	0.01026708478
741	0.9986639947	0.01024421792
742	0.9986639947	0.0102286348
743	0.9986639947	0.0102286348
744	0.9986639947	0.01021046449
745	0.9986639947	0.01020160686
746	0.9986639947	0.01017583611
747	0.9986639947	0.01015796365
748	0.9986639947	0.01014326946
749	0.9986639947	0.01012059675
750	0.9986639947	0.01010814198
751	0.9986639947	0.01009564503
752	0.9986639947	0.01008574363
753	0.9986639947	0.01006455122
754	0.9986639947	0.01005907915
755	0.9986639947	0.01003897085
756	0.9986639947	0.0100240896
757	0.9986639947	0.01001483115
758	0.9986639947	0.01000084289
759	0.9986639947	0.009969092264
760	0.9986639947	0.009947223253
761	0.9986639947	0.009938740938
762	0.9986639947	0.009923954456
763	0.9986639947	0.009903463448
764	0.9986639947	0.009887476109
765	0.9986639947	0.009869608406
766	0.9986639947	0.009858046793
767	0.9986639947	0.009846955572
768	0.9986639947	0.009827204172
769	0.9986639947	0.009815066417
770	0.9986639947	0.009785387413
771	0.9986639947	0.00977712185
772	0.9986639947	0.009759521876
773	0.9986639947	0.009743133142
774	0.9986639947	0.009726904206
775	0.9986639947	0.009716003215
776	0.9986639947	0.009707995996
777	0.9986639947	0.009684362284
778	0.9986639947	0.00967127848
779	0.9986639947	0.009655503613
780	0.9986639947	0.009644051006
781	0.9986639947	0.009614665995
782	0.9986639947	0.009602548345
783	0.9986639947	0.009594570296
784	0.9986639947	0.009574880576
785	0.9986639947	0.00955633208
786	0.9986639947	0.009529307895
787	0.9986639947	0.009515096978
788	0.9986639947	0.009514959289
789	0.9986639947	0.009494609231
790	0.9986639947	0.009485028268
791	0.9986639947	0.009478239926
792	0.9986639947	0.009473177434
793	0.9986639947	0.009455037446
794	0.9986639947	0.009455030223
795	0.9986639947	0.009445468578
796	0.9986639947	0.009432469235
797	0.9986639947	0.009432454572
798	0.9986639947	0.009425593588
799	0.9986639947	0.009425574658
800	0.9986639947	0.009404868682
801	0.9986639947	0.009393913307
802	0.9986639947	0.009380310074
803	0.9986639947	0.009360658185
804	0.9986639947	0.009341315042
805	0.9986639947	0.009341286178
806	0.9986639947	0.009329024935
807	0.9986639947	0.009316457757
808	0.9986639947	0.009289492022
809	0.9986639947	0.009278478471
810	0.9986639947	0.009278464443
811	0.9986639947	0.009270154595
812	0.9986639947	0.009254297839
813	0.9986639947	0.009233129001
814	0.9986639947	0.009214255548
815	0.9986639947	0.009214240905
816	0.9986639947	0.009198630626
817	0.9986639947	0.009177923302
818	0.9986639947	0.009166339856
819	0.9986639947	0.009163170113
820	0.9986639947	0.00916312528
821	0.9986639947	0.009148840036
822	0.9986639947	0.009130613274
823	0.9986639947	0.009105398069
824	0.9986639947	0.009105389626
825	0.9986639947	0.009103628577
826	0.9986639947	0.00910349247
827	0.9986639947	0.009103475764
828	0.9986639947	0.009090824232
829	0.9986639947	0.009079845551
830	0.9986639947	0.009079826032
831	0.9986639947	0.009070141229
832	0.9986639947	0.009046246363
833	0.9986639947	0.009023702111
834	0.9986639947	0.009023568952
835	0.9986639947	0.00901640526
836	0.9986639947	0.00900198389
837	0.9986639947	0.009001976541
838	0.9986639947	0.008991630884
839	0.9986639947	0.008991472403
840	0.9986639947	0.00899146575
841	0.9986639947	0.008989816267
842	0.9986639947	0.008982117723
843	0.9986639947	0.008974232816
844	0.9986639947	0.00897422996
845	0.9986639947	0.008974053317
846	0.9986639947	0.00897402836
847	0.9986639947	0.008967690651
848	0.9986639947	0.008959179396
849	0.9986639947	0.008959172705
850	0.9986639947	0.008957949683
851	0.9986639947	0.008951994609
852	0.9986639947	0.008940910958
853	0.9986639947	0.008934766016
854	0.9986639947	0.008925485165
855	0.9986639947	0.008917496374
856	0.9986639947	0.008908691536
857	0.9986639947	0.008899000747
858	0.9986639947	0.008879484521
859	0.9986639947	0.008870663147
860	0.9986639947	0.008860631423
861	0.9986639947	0.008850904886
862	0.9986639947	0.00885089861
863	0.9986639947	0.008850895431
864	0.9986639947	0.008844550499
865	0.9986639947	0.008823698856
866	0.9986639947	0.00881564493
867	0.9986639947	0.008806159865
868	0.9986639947	0.008797393814
869	0.9986639947	0.008797390558
870	0.9986639947	0.008788746235
871	0.9986639947	0.00877897285
872	0.9986639947	0.008770763833
873	0.9986639947	0.008756584582
874	0.9986639947	0.008747744836
875	0.9986639947	0.008739983077
876	0.9986639947	0.008722291946
877	0.9986639947	0.008715360535
878	0.9986639947	0.008708353152
879	0.9986639947	0.008697238544
880	0.9986639947	0.008697211595
881	0.9986639947	0.008697179695
882	0.9986639947	0.008697163753
883	0.9986639947	0.008680224211
884	0.9986639947	0.008674679831
885	0.9986639947	0.008674635649
886	0.9986639947	0.008662266378
887	0.9986639947	0.008662261203
888	0.9986639947	0.008662238543
889	0.9986639947	0.008657260246
890	0.9986639947	0.008636728337
891	0.9986639947	0.008631170131
892	0.9986639947	0.008622841541
893	0.9986639947	0.008607810598
894	0.9986639947	0.008607673964
895	0.9986639947	0.008607658314
896	0.9986639947	0.008607656358
